Id,SalePrice
1461,125670.3027
1462,172099.1256
1463,182215.9888
1464,183527.037
1465,200748.5223
1466,178762.4071
1467,172747.624
1468,171010.0183
1469,182508.275
1470,130331.3619
1471,214193.5134
1472,102269.1819
1473,102266.5199
1474,158797.0412
1475,144416.9538
1476,423536.381
1477,260859.9905
1478,308008.6477
1479,300722.4926
1480,495698.7314
1481,340637.6331
1482,216840.537
1483,172143.46
1484,175962.1204
1485,183489.8255
1486,198872.6073
1487,356653.4024
1488,246715.4059
1489,204468.7307
1490,240540.8691
1491,196813.9362
1492,101266.073
1493,191290.8845
1494,309858.5284
1495,321868.3023
1496,244790.5424
1497,185433.3079
1498,173939.0107
1499,174441.5224
1500,149973.1177
1501,174750.5478
1502,158368.5509
1503,292500.1324
1504,227838.3572
1505,218699.5958
1506,196132.2249
1507,240836.0891
1508,200832.2727
1509,166778.6049
1510,149279.4976
1511,146013.3839
1512,180738.6404
1513,160031.0515
1514,176687.9824
1515,191256.2204
1516,174461.7155
1517,160689.095
1518,148196.5394
1519,235827.8078
1520,137183.1424
1521,138849.6804
1522,173764.1826
1523,114925.5429
1524,136241.8006
1525,131172.6889
1526,131689.2281
1527,116210.1464
1528,139584.1132
1529,148450.8728
1530,179410.1327
1531,112522.2045
1532,111684.7721
1533,158913.1034
1534,126115.4138
1535,154728.7276
1536,116499.1097
1537,74853.2878
1538,192060.5519
1539,238755.8697
1540,118023.5279
1541,155737.1576
1542,148497.4126
1543,240849.017
1544,99666.7275
1545,127310.6366
1546,128656.1601
1547,133753.783
1548,148996.1003
1549,122367.6824
1550,145335.3311
1551,120425.7351
1552,132185.6352
1553,167849.678
1554,120408.9377
1555,177206.9138
1556,94385.4609
1557,133451.205
1558,103634.328
1559,95820.9435
1560,151037.0686
1561,153860.6259
1562,135951.2751
1563,125924.9787
1564,162039.6509
1565,152587.4828
1566,226527.9914
1567,81309.3153
1568,226046.4183
1569,150683.5231
1570,138829.9147
1571,136177.2336
1572,162432.8031
1573,255473.8508
1574,128250.6339
1575,222601.077
1576,216445.0991
1577,195219.7197
1578,164560.5137
1579,154268.7179
1580,200072.6414
1581,161789.952
1582,135659.0441
1583,338151.6042
1584,239996.0469
1585,144558.7946
1586,97564.8449
1587,107379.817
1588,151076.8937
1589,115592.5289
1590,140977.5812
1591,106540.2296
1592,123914.8467
1593,132857.881
1594,156933.5809
1595,119325.4232
1596,240398.1344
1597,199985.4666
1598,206900.8748
1599,194853.6045
1600,192963.126
1601,92125.8656
1602,121851.8904
1603,94541.9269
1604,271108.6719
1605,276221.4058
1606,167406.7276
1607,183977.619
1608,222844.8284
1609,196452.4465
1610,157439.3338
1611,146760.7937
1612,182720.5938
1613,161685.9856
1614,124917.8264
1615,98992.7485
1616,83143.8861
1617,101505.4754
1618,134062.6647
1619,151954.8865
1620,164130.9674
1621,143329.1525
1622,150999.094
1623,298305.9186
1624,213595.9509
1625,135416.2334
1626,168642.3668
1627,191017.9516
1628,309527.7332
1629,187864.6067
1630,380444.0818
1631,222751.3397
1632,249999.232
1633,178882.4426
1634,183656.9881
1635,180366.0249
1636,155569.3993
1637,189705.0869
1638,215906.8443
1639,181352.8074
1640,266563.016
1641,186530.7844
1642,231968.3344
1643,238401.5757
1644,222844.7618
1645,195269.653
1646,152498.3999
1647,170635.9645
1648,134971.3279
1649,144889.7267
1650,121524.238
1651,135744.2606
1652,106072.9191
1653,105001.8203
1654,154226.2662
1655,160845.8136
1656,152317.3631
1657,154770.3778
1658,153999.1884
1659,152647.207
1660,154897.3707
1661,442932.0063
1662,477180.3289
1663,397265.1912
1664,477592.2326
1665,306840.3955
1666,330097.6156
1667,377558.8423
1668,336193.4281
1669,310096.6937
1670,368787.6066
1671,261365.2298
1672,473339.0273
1673,308939.5075
1674,246371.6217
1675,188047.658
1676,178516.6873
1677,214885.789
1678,460714.2343
1679,406540.3103
1680,348112.3575
1681,266759.5604
1682,297876.7833
1683,181923.7767
1684,184486.8109
1685,177484.9218
1686,178962.1486
1687,175971.8169
1688,191568.3484
1689,194723.8386
1690,192710.0617
1691,181873.997
1692,275273.8227
